Testfile,cuda-total,cuda-PASSED,cuda-Skipped,cuda-Failed,stock_xpu-total,stock_xpu-PASSED,stock_xpu-Skipped,stock_xpu-Failed
test/distributed/checkpoint/test_nested_dict.py,2.0,2.0,0.0,0.0,,,,
test/distributed/checkpoint/test_pg_transport.py,21.0,21.0,0.0,0.0,,,,
test/distributed/checkpoint/test_planner.py,15.0,15.0,0.0,0.0,,,,
test/distributed/checkpoint/test_quantized_hf_storage.py,2.0,2.0,0.0,0.0,,,,
test/distributed/checkpoint/test_save_load_api.py,2.0,2.0,0.0,0.0,,,,
test/distributed/checkpoint/test_state_dict.py,25.0,25.0,0.0,0.0,,,,
test/distributed/checkpoint/test_state_dict_stager.py,14.0,14.0,0.0,0.0,,,,
test/distributed/checkpoint/test_state_dict_utils.py,7.0,7.0,0.0,0.0,,,,
test/distributed/checkpoint/test_tp_checkpoint.py,2.0,2.0,0.0,0.0,,,,
test/distributed/checkpoint/test_traverse.py,7.0,7.0,0.0,0.0,,,,
test/distributed/checkpoint/test_utils.py,16.0,16.0,0.0,0.0,,,,
test/distributed/elastic/events/lib_test.py,8.0,8.0,0.0,0.0,,,,
test/distributed/elastic/metrics/api_test.py,3.0,3.0,0.0,0.0,,,,
test/distributed/elastic/multiprocessing/api_test.py,25.0,23.0,2.0,0.0,,,,
test/distributed/elastic/multiprocessing/test_api.py,7.0,7.0,0.0,0.0,,,,
test/distributed/elastic/test_control_plane.py,9.0,9.0,0.0,0.0,,,,
test/distributed/elastic/timer/local_timer_example.py,2.0,2.0,0.0,0.0,,,,
test/distributed/elastic/timer/local_timer_test.py,14.0,14.0,0.0,0.0,,,,
test/distributed/elastic/utils/distributed_test.py,8.0,8.0,0.0,0.0,,,,
test/distributed/elastic/utils/logging_test.py,2.0,2.0,0.0,0.0,,,,
test/distributed/elastic/utils/util_test.py,12.0,12.0,0.0,0.0,,,,
test/distributed/flight_recorder/test_fr_analysis.py,4.0,4.0,0.0,0.0,,,,
test/distributed/fsdp/test_checkpoint_wrapper.py,8.0,7.0,1.0,0.0,,,,
test/distributed/fsdp/test_distributed_checkpoint.py,2.0,2.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_apply.py,3.0,3.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_backward_prefetch.py,1.0,1.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_checkpoint.py,17.0,17.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_clip_grad_norm.py,4.0,4.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_comm.py,10.0,10.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_comm_hooks.py,28.0,28.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_core.py,60.0,60.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_dtensor_state_dict.py,15.0,15.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_exec_order.py,8.0,8.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_fine_tune.py,4.0,4.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_flatten_params.py,14.0,14.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_freezing_weights.py,32.0,32.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_fx.py,1.0,1.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_grad_acc.py,6.0,6.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_hybrid_shard.py,6.0,6.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_ignored_modules.py,8.0,8.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_input.py,2.0,2.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_memory.py,2.0,2.0,0.0,0.0,,,,
test/distributed/fsdp/test_fsdp_meta.py,15.0,8.0,7.0,0.0,,,,
test/distributed/fsdp/test_fsdp_misc.py,28.0,26.0,2.0,0.0,,,,
